Designator	Footprint	Quantity	Value	LCSC	Part	#
C1, C2, C6, C8	805	4	0.1uF	C28233		
C4	805	1	1uF	C28323		
C5, C7	805	2	10uF	C440198		
D1	D_SOD-123	1	1N4148W	C81598		
D2	805	1	LED	C2296		
J99	PinHeader_1x4_P2.54mm_Drill1.02mm	1	22232041	C2935994		
						
R10	805	1	68	C17408		
R12, R14	805	2	10K	C17414		
R2, R3, R7	805	3	220	C17557		
R8	805	1	470	C17710		
U2	SOT-753	1	SN74LVC1G07DBVR	C7829		
U3	IC_H11L1SM	1	H11L1M	C78589		
U4	SOT-89-3	1	LM1117-3.3	C5120796		
U5	ESP32-C3-WROOM-02	1	ESP32-C3-WROOM-02	C2934560		
