Designator	Mid X	Mid Y	Rotation	Layer
C1	70.828	37.4175	90	top
C2	59.73546	37.78	90	top
C4	71.1405	14.08	0	top
C5	72.33546	5.78	0	top
C6	72.37296	1.38	0	top
C7	72.37296	3.68	0	top
C8	68.43546	5.78	0	top
D1	49.868	41.78	0	top
D2	83.53546	39.705	270	top
J99	54.07546	4.78	180	top
R10	85.93546	39.78	270	top
R12	70.03546	-6.42	90	top
R14	70.33546	-0.72	0	top
R2	72.73546	39.58	270	top
R3	75.13546	39.48	270	top
R7	44.23546	36.78	270	top
R8	61.93546	37.78	270	top
U2	73.728	35.33	270	top
U3	52.245	35.19	270	top
U4	71.428	9.98	90	top
U5	58.58546	-3.71	180	top
