Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.1uF,C28233
C2,0805,1,0.1uF,C28233
C4,0805,1,1uF,C28323
C5,0805,1,10uF, C440198 
C6,0805,1,0.1uF,C28233
C7,0805,1,10uF, C440198 
C8,0805,1,0.1uF,C28233
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N914,
D2,0805,1,LED,C401117
"H1, H2, H3",MountingHole_2.7mm_M2.5_ISO7380_Pad,3,MountingHole_Pad,
J0,3.5mm_stereo_jack_PJ320B_THRU,1,PJ-320B,
"J31, J32",PinHeader_1x14_P2.54mm_Vertical,2,Conn_01x14_Female,
J40,MIDI_DIN5_NO_ATTACHEMENT,1,MIDI_1_IN,
J70,TE_292303-1,1,USB_A,
"J81, J82",3.5mm_stereo_jack_PJ320B,2,PJ-320B,
J90,MIDI_DIN5_NO_ATTACHEMENT,1,MIDI_1_OUT,
"J96, J99",PinHeader_1x4_P2.54mm_Drill1.02mm,2,0022232041,0022232041
"JP2, JP3",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,SolderJumper_2_Open,
R10,0805,1,68, C17784 
R12,0805,1,10K, C17414 
R14,0805,1,10K, C17414 
R2,0805,1,220, C17557 
R3,0805,1,220, C17557 
R7,0805,1,220, C17557 
R8,0805,1,470,C17710 
U1,Teensy41_poma,1,Teensy4.1,
U2,SOT-753,1,SN74LVC1G07DBVR,C7829
U3,DIP-6_W7.62mm,1,H11L1M,H11L1M
U4,SOT-89-3,1,LM1117-3.3, C5120796
U5,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560
